Date,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Gender,Employee or Third Party,Critical Risk,Description_final
2016-02-02,Country_01,Local_01,Mining,4,5,Male,Third Party,Others,moments operator jumbo try energize equipment proceed installation split set intersection nv remove lock open electric board v lift thermomagnetic key make phase grind phase contact panel shell produce flash reach operator cause injury describe
2016-02-04,Country_02,Local_05,Metals,1,3,Male,Employee,Others,due accumulation waelz conveyor trailer filter fi employee perform clean shutter use air lance surprise fall product door pass neck collar aramid jacket cause burn neck shoulder
2016-02-04,Country_02,Local_05,Metals,1,4,Male,Employee,Liquid Metal,employee work thermal shock cause splash zinc direction employee despite use indicate ppe hit small spatter pass facila hood small burn face region
2016-02-06,Country_01,Local_04,Mining,3,4,Male,Third Party,Others,rp level circumstances workers company perform task diamond drill assistants jhonatan injure nilton prepare increase hq perforation pipe locate scaffold mr jhonatan lift one end tube support pulley equipment frame end work scaffold moment mr nilton lift end hq pipe scaffold position frame upper part pipe come pulley fall strike right hand worker jhonatan bolt lateral part frame cause injury describe
2016-02-07,Country_01,Local_06,Metals,1,2,Female,Third Party,Others,due overheat bar row cell spark produce project manage reach chief guard corridor produce first degree burn neck
2016-02-08,Country_01,Local_06,Metals,1,2,Male,Employee,Others,auxiliary wheel cathode crane g change area bear heat hit hammer chisel one end bear track detachment bear piece occur impact thigh right leg produce cut ambulance call transfer clinic
2016-02-21,Country_01,Local_06,Metals,1,3,Male,Employee,Others,worker manuel make disconnection power cable gate intersection manco streets cajamarquilla order remove circumstances mr jos worker company remove rope tie body gate yield fall pull warn post hit helmet mr stand side
2016-02-25,Country_01,Local_06,Metals,1,2,Male,Third Party,Others,operator samuel open container subsequent load silver concentrate open first gate afterwards try open second door product open latter first one open impact handle safety lens generate injury leave cheekbone face operator
2016-02-09,Country_01,Local_03,Mining,1,4,Male,Third Party,Others,raise chamber operator assistant remove drill bar r drill machine weight approx kg hold top tm stroke assist jib move horizontally operator jib bottom slide move top drill bar cause assistant bar enforce assistant hand bar piston equipment
2016-02-10,Country_01,Local_03,Mining,2,4,Male,Third Party,Others,align right bracket tower n release tension apply tirford tn push lever towards tension release point return mechanical effect overcome resistance lineman operator reshape hand assistant beat assistant frontal region
2016-02-15,Country_02,Local_02,Mining,2,2,Male,Third Party (Remote),Others,loosen truck steer cylinder bolt use power cable socket force exert favor equipment bolt suddenly retire employee hit hand structure equipment cause injury
2016-02-14,Country_01,Local_06,Metals,1,2,Male,Third Party,Others,operator g deslaminadora section unlock sheet zinc stick enter slide stack table require support mr mollares help hold sheet place entry chute slide moment release blade tilt brush mr mollares leave leg collaborator go nearby eyewash clean immediately medical center
2016-02-15,Country_01,Local_06,Metals,1,2,Male,Employee,Manual Tools,operator will manually displace zinc sheet adhere aluminum cathode moment blade detach blade release cathode bend graze collaborator right hand produce small cut knuckle finger worker make use gloves leather worker transfer medical unit first aid
2016-02-13,Country_01,Local_01,Mining,1,1,Male,Employee,Others,end lunch enable place side winche control room get short walk slip sit floor make contact leave knee take importance rest guard guard finish go safety communicate fact reason derive natclar attention
2016-02-15,Country_01,Local_03,Mining,1,3,Male,Third Party,Others,end rock break intersection ramp open access ventilation chimney master loader identify rock mesh proceed unload end decide verify still remain position line fire time fragment rock fall x x cm gr cocada mesh impact lens helmet cause injury
2016-02-16,Country_01,Local_01,Mining,1,4,Male,Employee,Others,worker carry work level stop place metal mesh basket soil half scissor mesh fall hit back right hand
2016-02-16,Country_02,Local_07,Mining,2,3,Male,Employee,Others,use griff wrench unscrew rod probe key come move press employee finger probe
2016-02-17,Country_01,Local_03,Mining,1,2,Male,Employee,Others,plant operator semi kneel lift lid gate kg distributor box secondary mill right knee slip due presence debris spill platform floor grate give extra effort leave leg generate muscle contracture
2016-02-19,Country_01,Local_03,Mining,1,2,Male,Employee,Others,level access time engineer trainee planamieto enter verify amount split set place scissor support hold notebook pen leave hand inspect roof work lose balance step rock hold right hand rock floor cause injury worker time accident wear gloves use make difficult take note
2016-02-21,Country_01,Local_01,Mining,3,4,Male,Third Party,Others,worker yaranga work barretilla stop level unload metal mesh basket ampoloader operator juan barretilla embed safety boot react immediately worker remove limb force manage release foot produce wind right foot
2016-02-20,Country_01,Local_04,Mining,5,5,Male,Third Party,Others,approximately p circumstances shotcrete launch nv bp ob b finish launch first mixkret assistant alpha mr albertico ask operator mixkret mr jhony move mixkret access find cockpit mixkret operator launcher team mr danon ask come team start notice mr danon injure imprison team height leave rear rim hastial de la labor
2016-02-15,Country_02,Local_05,Metals,1,2,Male,Employee,Others,employee clear pipe tap right thumb flange cause little trauma
2016-02-18,Country_02,Local_05,Metals,1,3,Male,Third Party (Remote),Pressed,replace telescopic expansion joint hdpe pipe storm drainage pump system report piece involuntarily move position holder press finger holder cause wind right chemo
2016-02-22,Country_01,Local_01,Mining,1,4,Male,Third Party,Others,withdrawal kelly bar conductive bar kg length cm diameter equipment perforation part two workers one position low part tie bar injure one position upper part hold bar position bar platform lose control bar move cm nd finger right hand pulleys frame time accident worker wear safety gloves drill rig block
2016-02-24,Country_02,Local_07,Mining,1,5,Male,Employee,Others,start activity remove coil electric cable warehouse help forklift truck operator notice beehive due movement coil be excite realize fact operator turn equipment leave area people pass sting
2016-02-24,Country_02,Local_07,Mining,1,5,Female,Third Party,Others,start activity remove coil electric cable warehouse help forklift truck operator notice beehive due movement coil be excite realize fact operator turn equipment leave area people pass sting
2016-02-24,Country_01,Local_01,Mining,1,4,Male,Employee,Others,pre use inspection jumbo check list equipment operator equipment find behind seat plastic bottle fill liquid apparently mineral water without label label take bottle take small sip liquid expel immediately notice water immediately proceed wash enough water transfer medical center attention liquid contact esengrasante product equipment machinery low toxicity
2016-02-29,Country_02,Local_02,Mining,2,4,Male,Employee,Others,maintenance flyght pump rotor oil pressure lubrication chamber cause chamber cover project towards employee face strike superficially forehead cause injury
2016-02-26,Country_01,Local_06,Metals,1,4,Male,Third Party (Remote),Pressurized Systems / Chemical Substances,approx leakage sulfur dioxide section due water seal blow due overpressure acid plant moment collaborators cormei company eissa cosapi work near impact area evacuate medical center care return usual work
2016-02-27,Country_01,Local_01,Mining,1,3,Male,Third Party,Others,perform cut mesh protrude gables work assistant loader position mt floor use portable ladder hold base master loader time loader assistant lose balance fall hold mesh hand hang mt floor cause injury
2016-03-02,Country_02,Local_08,Metals,1,3,Male,Employee,Pressed,operator center demag iv perform maintenance transport hydraulic cylinder help another operator official unbalance come cylinder carry press finger leave thumb pillar support oven specify figure
2016-03-02,Country_01,Local_06,Metals,1,3,Male,Employee,Blocking And Isolation Of Energies,start neutral leach process employee jhonatan proceed open air valve tank airlift circumstance process solution return chimney solution come contact arm right foot
2016-03-03,Country_01,Local_03,Mining,1,3,Male,Third Party,Others,time two assistants carry bag cement weigh kg lamp loader suspend cm floor leave foot one assistants slide hit edge baton
2016-03-04,Country_01,Local_06,Metals,1,3,Male,Employee,Manual Tools,operator clean spatula spear one windows boiler time force action hit window frame cause injury little finger leave hand operator epp boiler clean
2016-03-05,Country_01,Local_03,Mining,1,4,Male,Employee,Others,locomotive operate maperu personnel direct wagons load ore op waste bin next waste bin patrol car go back wagons moment pass change track leave rear wheel patrol car leave rail advance locomotive leave patrol car tilt ahead assistant motorist travel alone patrol car remain inside structure suffer minor bruise
2016-03-06,Country_01,Local_04,Mining,1,3,Male,Employee,Others,pit level radial drill perform negative hole simba c ith equipment assistant equipment operator make change drill bite metal bar hammer release couple rotation unit abruptly withdraw hand hit back right hand team structure time accident team pay
2016-03-06,Country_01,Local_03,Mining,3,4,Male,Third Party (Remote),Others,time worker another partner prepare move oil cylinder gallons mobile platform mount rail platform weigh approximately kg derail leave rail order place platform rail workers lift platform instants right hand one trap rail platform structure hold metallic tube protrude platform accident cause bruise wind index finger right hand fracture time accident wear leather type safety gloves
2016-03-09,Country_01,Local_06,Metals,1,4,Male,Third Party,Suspended Loads,operator feed bag big bag contain scrap zn sheet lift load bag release hook hoist make abrupt contact liquid zinc furnace generate explosion cause operator hit liquid zinc
2016-03-11,Country_01,Local_03,Mining,3,5,Male,Third Party,Others,circumstances two workers company incimmet make load explosives use equipment anfoloader front work sustain shotcreterepentinamente right superior part crown piece rock approx kg mx mx impact basket back helper basket suspend height moments later block rock detach wall gable approx kg mx mx impact ampoloader team part block injure operator ampoloader team stand grind equipment anfoloader cabin protection rops fops time accident workers use helmets safety boot suffer polyontusions minor scoria injuries
2016-03-11,Country_01,Local_03,Mining,1,5,Male,Third Party,Others,circumstances two workers company incimmet fectuaban load explosives use equipment anfoloader front work sustain shotcreterepentinamente right superior part crown piece rock approx kg mx mx impact basket back helper basket suspend height moments later block rock detach wall gable approx kg mx mx impact ampoloader team part block injure operator ampoloader team stand grind equipment anfoloader cabin protection rops fops time accident workers use helmets safety boot suffer polyontusions minor scoria injuries
2016-03-13,Country_01,Local_03,Mining,1,4,Male,Third Party (Remote),Others,mechanic assistant throw wooden block support stabilizer hiab crane truck grind descend truck access ladder arrive last step jump towards grind height cm tread edge one wooden block cause injury leave ankle
2016-03-12,Country_02,Local_07,Mining,3,4,Male,Employee,Others,manually move steel cabinet disposal help another employee operator finger press wall cabinet cause injury
2016-03-14,Country_01,Local_06,Metals,2,3,Male,Third Party (Remote),Chemical Substances,discharge waste operator proceed remove bag hose roll circumstance one end hose move direction face driver project liquid contain impact ear part face
2016-03-13,Country_01,Local_03,Mining,1,3,Male,Employee,Others,circumstances operator go level level notice hydraulic pump inspection cover x x kg approx fall stop equipment activate cat climb upper part equipment moments accommodate cover slide middle finger cause injury
2016-03-16,Country_01,Local_04,Mining,1,2,Male,Third Party,Others,instal ripper pin tractor n ripper support arm slide press second third finger right hand base ripper cause injury describe
2016-03-10,Country_02,Local_05,Metals,1,2,Male,Employee,Pressed,employee report lower cloths purification arrange cart would grab pipe press leave hand cloths cart
2016-03-17,Country_01,Local_01,Mining,1,2,Male,Third Party,Others,end load explosives work front master loader enter verify moor blast accessories retire top hear sound fragment rock roll support mesh direct gaze towards crown vertical form point small fragment rock x x cm gr pass open mesh sustain impact forehead time event collaborator use helmet safety lens front support top sacrifice mesh open support mesh x
2016-03-16,Country_02,Local_08,Metals,2,2,Male,Employee,Manual Tools,employee perform adjustment tighten operation cutter blade work neglect key slip cause blade equipment hit cause blunt cut right forearm
2016-03-18,Country_01,Local_04,Mining,4,4,Male,Third Party,Others,approximately circumstances messrs truck crane william de la cruz culminate shipment block metal plat approximate weight kg mr william de cross rigger climb onto truck remove sling place feet stretcher support metal plat moment central part stretcher break result two feet imprison produce injury
2016-03-19,Country_01,Local_01,Mining,1,3,Male,Employee,Others,placement last support mesh cloth work moments grind injure collaborator reach electrowelded mesh operator scissor bolter position basket press mesh one protrude end mesh cross leather glove cause injury right hand
2016-03-14,Country_02,Local_05,Metals,1,4,Male,Employee,Chemical Substances,employee check acid leakage ship area hit splash solution right hemiface
2016-03-18,Country_02,Local_05,Metals,1,4,Male,Employee,Fall Prevention (Same Level),employee clear liquid zinc pump oven step platform become unbalance twist leave foot
2016-03-18,Country_02,Local_05,Metals,1,4,Male,Employee,Chemical Substances,employee transit toward cadmium factory near tank copper sulphate acid solution spill direction reach legs cause minor burn
2016-03-22,Country_01,Local_03,Mining,1,2,Male,Employee,Others,carry activity cut electrowelded mesh work front assistant position feet one end mesh leave end free moment assistant bend make cut shear end free mesh return inertia hit partner safety lens
2016-03-22,Country_01,Local_01,Mining,4,4,Male,Third Party,Others,refurbishment work hdpe pip diameter two workers worker secure pipe chain stand basket ampoloader raise height grind pipe slip impact arm right cause injury radius right arm
2016-03-25,Country_01,Local_01,Mining,1,4,Male,Third Party,Others,circumstances dump truck lade ore enter unload backwards curve upper part via la laquia operator notice unevenness road approximately one meter approach edge overturn truck right side operator travel alone truck make use safety belt helmet glass time accident unload process two square accident site test alcohotest operator negative
2016-03-30,Country_01,Local_04,Mining,2,4,Male,Third Party,Others,approximately pm level cx bp circumstances workers company rock perform anchorage central pin anchor drill machine diamantina xrd bob cat assistant cristian injure make adjustment nut central bolt stilson key simultaneously jose control panel make movement rotation unit position clamp pin moment frame slide press thumb assistant leave hand stilson key cause describe injury due lack secure frame fix bolt
2016-03-30,Country_01,Local_03,Mining,1,3,Male,Employee,Others,carry mechanize support scissor heavy equipment operator pick water supply hose towards drum equipment head towards cabin scissor way piece rock cm high approx displace slide right foot cause injury describe
2016-03-31,Country_01,Local_06,Metals,1,3,Male,Employee,Others,approximately h supervise line clamp pom roy canario return thickener hit nose metal chute operation
2016-03-31,Country_02,Local_08,Metals,1,3,Male,Third Party (Remote),Pressed,employee perform truck unload operation iron bundle press right finger injure leave arm
2016-04-01,Country_01,Local_03,Mining,1,3,Male,Third Party,Others,load two blow hole previous blast use telescopic ladder master loader pull ladder detach upper support point mt height fragment rock cm x cm x cm gr project right end ladder hit master loader cheekbone upper lip produce lesion describe master shipper use safety glass
2016-04-03,Country_01,Local_01,Mining,3,5,Male,Third Party,Others,plant stop schedule maintenance almost end change fit hdp pipe diameter resident enter work zone bottom supervise work moment four workers anchor harness upper part manipulate accessory tie flanges hdp pipe pvc diameter suddenly pvc pipe come support pipe fine material tail weight kg fall height meter floor bounce imprison resident engineer injure worker lower part line fire
2016-04-02,Country_01,Local_01,Mining,1,3,Male,Employee,Others,park equipment dumper maintenance workshop mechanic ask operator back equipment wash operator start reverse gear cab door fully open upon reach wash area meter behind brake cabin door close untimely hit face cause minor injury area mechanic floor level safe place
2016-04-01,Country_01,Local_01,Mining,1,5,Male,Third Party (Remote),Others,circumstances two workers abratech company putty work inside condition tank meter deep cover platforms metal grate grate upper part two employees hyt company carry maneuver transfer pump help manual tick work hook beam h drag pump metal grate grate suddenly pump hook metal grate grate try release metal grid grate kg cm x cm fall inside tank hit diagonal channel inside tank impact right arm one workers rub helmet second worker crouch area bomb move mark tape lookout
2016-03-10,Country_03,Local_10,Others,2,2,Male,Third Party,Others,access santa novo area order open chop general move ahead team order open access manetometer come across area steep slope gravel presence certain place access employee slip come become unbalance moment machete leave hand come slip right leg knee cause cut cm
2016-03-24,Country_03,Local_10,Others,4,4,Male,Third Party,Others,perform sleeve removal maneuver hole meter deep general da silva press one side lock nut rods together jack hold entire weight rods maneuver lock procedure effective weight rods secure steel wire rope probe winch moment driller pedro release brake winch inefficacy lock do one side chestnut without aid monkey cause slide rods auxiliary prepare manual unlock rods hold faucet key firmly probe tower composition shift stem slide hand shift downward cause leave hand strike base probe tower structure cause cut th th quirodactyl employee take hospital go medical care wind suture stitch remove days activities
2016-03-22,Country_03,Local_10,Others,1,1,Male,Third Party,Others,trip vehicle end work collaborator rhainer step object could identify thus come pierce sole boot cause small hole sole leave foot collaborator perforation possibly due stump wood since area cover collaborator pasture graze recently near residence
2016-03-31,Country_01,Local_03,Mining,1,2,Male,Third Party,Others,workshop level box two mechanics manipulate steel plate cm x cm x cm kg place gutter workshop able remove scaler plate slide restrict right ring finger gable plate cause injury collaborator use gloves time accident
2016-04-04,Country_02,Local_09,Metals,3,4,Male,Employee,Manual Tools,open suction valve bo acid pump cable pump come loose press th finger employee leave hand tube cause fracture distal phalanx photos
2016-04-05,Country_01,Local_06,Metals,1,3,Male,Third Party,Fall Prevention (Same Level),worker carry disassembly scaffold body pulpomatic thickener dismantle base scaffold locate approximately one meter high floor sump rivet anchor support platform break cause fall worker impact right knee support anchor one horizontals scaffold structure
2016-04-05,Country_02,Local_05,Metals,1,3,Male,Third Party,Pressed,employee report handle air condition press nd right chirodactilo cause contusion
2016-04-07,Country_01,Local_03,Mining,1,2,Male,Third Party,Others,park van next cluster wooden sleepers board driver descend step board iron nail protrude long identify board submerge puddle water accident cause minor wind sole leave foot time accident worker wear safety boot
2016-04-08,Country_01,Local_03,Mining,1,4,Male,Employee,Others,maintenance locomotive n workshop level assistant pull locomotive chair backwards stumble ventilation grille fall platform locomotive floor workshop height generate injury time accident assistant use safety helmet chin strap
2016-04-11,Country_01,Local_01,Mining,1,4,Male,Third Party,Others,rb machine lift weight tn cm floor level accidently proceed pull rb machine key tons maximum cap lay floor advance cm horizontally anchor bolt pig tail type diameter key hook break transversely pull force key project onto injure person leave shoulder cause injury injure meter key time incident assistant meter away order clean
2016-04-11,Country_01,Local_01,Mining,1,4,Male,Employee,Others,position scissor bolter n east stope meter top operator assistant verify ventilation sleeve obstruct support leave gable decide section sleeve direct towards main corridor injure person decide climb roof equipment cabin surface square meter carry reinstallation section sleeve without notice step empty fall equipment height meter time accident operator scissor bolter platform equipment position block perform maintenance assistant wear safety helmet chin strap
2016-04-14,Country_02,Local_08,Metals,1,3,Male,Employee,Pressurized Systems,clean vertical pipe use hydrojet equipment high pressure hose hose return due obstruction pipe residue reach operator actuate equipment pedal
2016-04-14,Country_01,Local_04,Mining,1,2,Male,Third Party,Others,bypass level workers company incimet raul operator bolter bolt team rolando assistant retire instal support helical bolt pink team mesh overhang gable teacher tell assistant cut mesh instant assistant finish cut mesh suddenly rise hit face cause injury describe
2016-04-16,Country_01,Local_04,Mining,1,3,Male,Third Party,Others,approximately luna master loader company incimet carry load activity front cruiser level moments tie pentacord crown try reach fanel leave side lose balance movement ladder fall floor result accident
2016-04-16,Country_01,Local_03,Mining,1,3,Male,Third Party,Others,moments worker mechanic workshop maintenance wire mine lamp hook drill hole kg work table workshop fell impact leave foot cause minor bruise time accident collaborator use safety boot steel toecap
2016-04-15,Country_01,Local_03,Mining,1,2,Male,Employee,Others,general store two store attendants remove compartment rubber mesh material classification x x kg weight lift approx cm position edge another mesh place floor litter slightly imprison index finger right hand one assistants cause minor cut wind time accident injure worker use leather gloves
2016-04-17,Country_02,Local_05,Metals,1,4,Male,Employee,Cut,employee report attempt manually ingot zinco rotary table l ingot hit leave hand angle structure ingot press finger ingot angle
2016-04-18,Country_01,Local_03,Mining,1,3,Male,Third Party,Others,move roll electro weld mesh kg weight place hopper truck two operators pull roll mesh bring hopper truck time imprisonment leave hand one operators mesh body hopper generate describe injury time accident operators wear pvc type safety gloves
2016-04-21,Country_02,Local_02,Mining,1,5,Male,Employee,Others,perform clean lhd block f level operator surprise rock block displacement side gallery reach right leg cause superficial injury
2016-04-22,Country_01,Local_01,Mining,1,2,Male,Third Party,Others,workshop end weld work small bolter equipment welder proceed clean inside metal stool impregnate thinner flammable liquid help hammer screwdriver proceed remove oxides hit screwdriver hammer produce flash internal base stool produce slight burn right hand welder time accident welder use glove leave hand
2016-04-23,Country_01,Local_04,Mining,1,3,Male,Employee,Others,pm approximately nv ob cx mr cesar operator mine service instant pick cat position one truck crane plate acl raise right hand lower part cat index index finger leave hand body cylinder valve cat valve turntable upper part
2016-04-22,Country_02,Local_05,Metals,2,4,Male,Third Party,Pressurized Systems / Chemical Substances,employee report place air lance tank open manual air valve projection acid solution heat toward reach front leave thigh
2016-04-26,Country_02,Local_05,Metals,1,2,Female,Third Party,Cut,injure woman perform clean clean sink collection room pierce finger fragment glass
2016-04-28,Country_02,Local_05,Metals,1,3,Male,Third Party (Remote),Chemical Substances,discharge sodium hydroxide disconnect hose employee place next demineralization suction pump turn receive projection pump sensor cause st degree burn
2016-04-29,Country_01,Local_04,Mining,3,4,Male,Third Party,Others,mr jesus operator concrete throw team alpha n shoot shotcrete cx work nv ob apply realize additive come mix direct lift cover passage valve cm x cm inch thickness approximately kg verify valve open release lid hit third finger leave hand base cause injury
2016-04-30,Country_02,Local_05,Metals,1,4,Male,Employee,Pressed,employee perform return load entrance debark machine try align cathode press right hand
2016-04-30,Country_01,Local_01,Mining,1,2,Male,Employee,Others,injure worker begin work present support mesh cloth floor make initial cut mesh section x ponchos originate remain mesh wicks tip prongs protrude try make second mesh cut position edge remain mesh wicks prevent curl point try take shear remove right foot mesh cause mesh roll embed wick tip pole leave boot cause injury time accident worker wear safety boot
2016-04-30,Country_01,Local_03,Mining,4,4,Male,Third Party,Others,ddh chamber company explomin locate level socorro ramp worker assistant driller dismantle fifth drill rod nq meter steel weight kg use stilson key moment operator operate rotation unit drill rod rotate press leave hand worker base rod holder cause injury leave hand time accident drill assistant use rubber gloves
2016-05-01,Country_01,Local_04,Mining,1,4,Male,Third Party,Others,carry maneuver increase hq pipe line driller wilder indicate assistant gilton introduce inner pipe drill assistant introduce inner pipe place hand box pipe driller without notice move pipe assistant hand open chuck rotation unit drop pipe imprison injure person right hand cause injury
2016-05-02,Country_02,Local_05,Metals,1,4,Female,Third Party (Remote),Chemical Substances,employee report climb access ladder operate room ustulation surprise projection sulfuric acid
2016-05-04,Country_03,Local_10,Others,1,1,Male,Third Party,Manual Tools,perform geological map activity necessary hammer rock analysis moment clerk hold point fragment slip third quirodactyl right hand cause superficial cut
2016-05-03,Country_01,Local_04,Mining,2,4,Male,Third Party,Others,p approximately nv cx mr kevin helper jumbo remove drill rod drill hole instants break chain subjection table drill machine slide achieve rub index finger leave hand cause injury
2016-05-04,Country_01,Local_04,Mining,1,3,Male,Employee,Others,approximately nv cx mr francisco operator scoop observe polyethylene pipe throw road proceed lower equipment find lift pipe hook right gable piece rock suspend lectro weld mesh impact operator right eyebrow cause injury
2016-05-04,Country_02,Local_05,Metals,1,3,Female,Third Party (Remote),Chemical Substances,conduct inspection evaluate activity carry pump house ustulation steam station hit sulfuric acid spill line locate pump house thermal recovery boiler
2016-05-04,Country_02,Local_05,Metals,1,3,Male,Third Party (Remote),Chemical Substances,conduct inspection evaluate activity carry pump house ustulation steam station strike sulfuric acid spill line locate house thermal recovery boiler pump
2016-05-05,Country_02,Local_05,Metals,1,3,Male,Third Party,Manual Tools,employee sand piece electrolysis end operation protective cap disk spin back leave hand
2016-05-05,Country_02,Local_08,Metals,1,2,Male,Third Party (Remote),Manual Tools,die cut feeder pead geomembrane blanket weld seam store extruder stylet blade come direction leave forearm result blunt short injury
2016-05-11,Country_01,Local_03,Mining,1,3,Male,Third Party,Others,weld workshop level ex tunnel quinoa moments assistant raise wooden strut long x diameter kg weight place work table height tread another wooden strut place floor lose balance fall level lie laterally concrete wall cause bruise leave shoulder
2016-05-12,Country_01,Local_06,Metals,1,2,Male,Third Party (Remote),Chemical Substances,sunday collaborator go medical center say accident days ago perform internal maintenance work heat exchangers define confine space risk burn acid leave confine space employee remove protective gloves without pass emergency shower moment skin contact occur sulfate generate lesion
2016-05-11,Country_01,Local_01,Mining,1,4,Male,Third Party,Others,moments truck transport personnel company mceisa plate ajg move nv surface miss reach mouth nv gearbox respond driver stop truck inspect along maintenance personnel time travel truck raise cabin manually put change first continue trip culminate task driver support maintenance personnel lower cabin due weight fall hit driver cabin hopper truck time accident employee wear safety helmet chin strap
2016-05-14,Country_01,Local_01,Mining,1,4,Male,Third Party,Others,complete weld work backhoe bucket make hours use glass moon welder feel slight discomfort eye transfer medical service evaluation accident welder use facial mask weld
2016-05-17,Country_01,Local_11,Others,1,2,Male,Employee,Others,employee milpo lima visit facilities level wait personnel cage go level drop water fall ceiling height meter approximately product slight filtration crown sustain shotcrete drop enter right eye cause discomfort right eye accord employee time accident lenses remove clean happen visit interior mine
2016-05-19,Country_01,Local_03,Mining,1,4,Male,Third Party (Remote),Others,el porvenir sub station level assemble metal structure approximately kg support lift system three operators try accommodate structure anchor base moment metallic structure slide direction injure worker right hand produce slight right hand accretion head bolt base structure cause injury time accident operators make use safety gloves
2016-05-18,Country_02,Local_05,Metals,1,3,Male,Employee,Others,employee perform carbon steel pipe mark activity helmet strike tube cause scalp wind due impact helmet sheepskin
2016-05-22,Country_02,Local_08,Metals,1,3,Male,Employee,Blocking And Isolation Of Energies,maintenance lx p b pump projection silicate pulp reach right leg employee
2016-05-20,Country_01,Local_06,Metals,1,1,Male,Third Party,Fall Prevention (Same Level),circumstances collaborator juveni perform wash tabolas pot wash area suffer feel dizziness faintness cause fall level produce slight concussion head
2016-05-22,Country_01,Local_03,Mining,1,4,Male,Third Party,Others,transit fuel tanker level level north ramp pass level operator feel right rear tire skid operator perform defensive maneuver truck hit leave gable cause injury describe time accident pilot co pilot wear safety belt safety glass helmet
2016-05-24,Country_03,Local_10,Others,4,4,Male,Third Party,Fall,field trip return work lunch employee wellfield company slip loose stone place moment intention balance try hold onto tree fall right arm cause fracture distal end radius activity paralyze employee refer hospital paracatu undergo medical care
2016-05-12,Country_01,Local_04,Mining,1,3,Male,Employee,Others,approximately workshop mechanical maintenance surface mr orlando boltec assistant mr macedonio make cut link shorten distance chain hold injection hose resin instant saw blade leave cut position affect second finger leave hand cause injury
2016-05-25,Country_01,Local_04,Mining,2,3,Male,Employee,Others,test soft starter engine belt collaborator igor move around site approximately pm fall trench electric cable deep find partially discover
2016-05-27,Country_02,Local_02,Mining,1,5,Male,Employee,Others,check voltage power outlet plug socket make sure connection correct small electrical arc power cord cause slight burn right hand wrist protection system act immediately
